range,payload,cost
1.134095073,5,3988.873779
1.134095073,5,3988.873779
37.36566925,5,6690.624023
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
24.62442017,40,8094.827148
45.69306946,5,6270.198242
45.69306946,5,6270.198242
14.0552063,30,5437.668457
19.3449173,60,7830.40332
45.69306946,5,6270.198242
24.62442017,40,8094.827148
19.3449173,60,7830.40332
19.3449173,60,7830.40332
14.0552063,30,5437.668457
19.3449173,60,7830.40332
5.537545681,15,6826.038574
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
14.0552063,30,5437.668457
5.537545681,15,6826.038574
24.62442017,40,8094.827148
5.537545681,15,6826.038574
5.537545681,15,6826.038574
19.97704697,50,6918.180176
18.37432671,60,7361.351074
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
16.85012245,50,6523.011719
19.97704697,50,6918.180176
16.85012245,50,6523.011719
16.85012245,50,6523.011719
24.62442017,40,8094.827148
19.97704697,50,6918.180176
16.85012245,50,6523.011719
14.0552063,30,5437.668457
32.10738754,40,8335.244141
14.0552063,30,5437.668457
29.86203766,40,8299.34082
