range,cost,capacity,config
11.57107353,2138.157471,7,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,7,3"
8.96709919,1956.198853,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^eg,7,3"
8.909672737,2138.157471,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,8,3"
6.190659523,2048.533447,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^cf^eg,8,3"
9.709971428,2170.148193,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-*gNL3-^ab^ac^ad^ae^cf^eg,8,33"
8.73251152,2161.67334,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3--^ab^ac^ad^ae^cf^eg,9,3"
8.238453865,2138.157471,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,9,3"
5.417509556,2053.159912,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3----------------------^ab^ac^ad^ae^cf^eg,9,3"
15.89070034,1752.381714,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^bg,2,3"
14.23510551,1802.365112,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^bg^cf,5,3"
6.742736816,2061.816162,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^bg^ef,8,3"
5.838984013,1777.510254,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^bg^ef^cg^bg,5,3"
16.72938919,2170.148193,6,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-*gNL3-^ab^ac^ad^ae^df^bg^ef^cg^eg,6,3"
11.82585907,1744.017944,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^bg^bg,2,3"
6.325189114,1910.746582,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^ef^bg^bg,6,3"
5.07942915,1890.377197,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^ef^bg^bg,6,3"
4.595582962,1894.006348,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^ef^bg^bg,7,3"
