range,capacity,cost,velocity,config
12.05931664,30,4935.855957,26.74483299,"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fMO1++*gKM2++*hMK1++*iOM2++*jNL0--*kLN0--^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^kc,30,3"
12.06321907,34,4610.435547,30.18023109,"*aMM0----*bNM2+++*cMN2+++*dLM1+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^fc,34,3"
12.0690794,15,3629.344971,32.00663376,"*aMM0-----*bNM2++*cMN1++*dLM2++*eML1++*fLN0--*gNL0--^ab^ac^ad^ae^df^eg^fc,15,3"
12.0929718,20,5095.650391,10.1789732,"*aMM0+++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN3*gNL3^ab^ac^ad^ae^df^eg,20,3"
12.10183907,30,4806.93457,30.5434494,"*aMM0----*bNM2+*cMN1+*dLM2+*eML1+*fMO1++*gKM2++*hMK1++*iOM2++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb,30,3"
12.13942242,41,5188.440918,28.46575165,"*aMM0-*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gLL1*hNL0*iNN2^ab^ac^ad^ae^cf^dg^eh^bi^bh,41,3"
12.20376968,32,4494.881836,30.95041656,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^cf^gb,32,3"
12.39077282,15,3967.147705,31.94590759,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0--*gLN0--^ab^ac^ad^ae^ef^dg,15,3"
12.4214859,15,3967.148682,31.9724102,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0--*gNL0--^ab^ac^ad^ae^df^eg^fc^gb,15,3"
12.57879925,15,4809.040527,9.840032578,"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL3+*gLN3+^ab^ac^ad^ae^ef^cg,15,3"
