seq	action	start_submit
3	Scenario;7.4:5.7|6.5:4.7|7.4:4.8|6.8:5.3|6.0:5.1|2.8:-6.0|2.2:-5.6|1.1:-6.3|1.5:-5.9|2.1:-6.4|0.1:0.6|-0.7:1.2|1.0:-0.5|-1.4:-1.2|-0.6:0.2|-0.3:-0.4|0.4:-0.8|-0.8:-1.6|0.7:0.3|0.6:1.0|-1.2:-4.0|-2.0:-5.1|-1.0:-5.6|-1.7:-4.4|-1.0:-4.8|-1.7:-3.4|-2.4:-3.7|-6.0:2.0|-7.4:1.4|-5.2:1.2|-5.8:3.0|-4.6:1.9|-6.5:3.4|-6.6:2.4|-6.1:1.3|-6.5:0.4|-5.3:2.4|-7.2:5.5|-6.5:-6.8|-4.5:-6.0|6.5:-1.0|6.9:-0.8|-2.1:6.0|-1.5:6.9|-3.0:5.1|-2.2:7.0|-2.8:6.2|	1
3	Scenario;-2.8:6.2|-2.2:7.0|-3.0:5.1|-1.5:6.9|-2.1:6.0|6.9:-0.8|6.5:-1.0|2.0:3.1|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;400.0;3470.0;1.0	0
3	Open;400.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;400.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;400.0;3470.0;1.0	0
3	Open;400.0;3470.0;1.0	0
3	Open;400.0;3470.0;3.0	0
3	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-7.4:1.4|-6.0:2.0|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|7.4:5.7|	0
3	Open;300.0;3470.0;1.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;500.0;3470.0;2.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Selected;500.0;3470.0;2.0	0
3	Open;300.0;3470.0;1.0	0
3	Open;500.0;3470.0;2.0	0
3	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
3	Open;5200.0;13583.0;21.0	0
3	Open;7100.0;13645.0;27.0	0
3	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|	0
3	Open;2000.0;7862.0;6.0	0
3	Open;3400.0;14804.0;12.0	0
3	Open;2000.0;7862.0;6.0	0
3	Open;3400.0;14804.0;12.0	0
3	Open;3400.0;14804.0;12.0	0
4	Open;4800.0;14487.0;17.0	0
4	Open;4800.0;14487.0;17.0	0
4	Open;4800.0;14487.0;17.0	0
4	Open;4800.0;14487.0;17.0	0
4	Open;4800.0;14487.0;17.0	0
4	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|1.0:-0.5|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|7.4:5.8|6.5:5.3|	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2700.0;12966.0;14.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;12966.0;14.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;9496.0;10.0	0
4	Open;2300.0;10831.0;11.0	0
4	Open;2700.0;12966.0;14.0	0
4	Open;2700.0;9496.0;10.0	0
4	Selected;2700.0;9496.0;10.0	0
4	Scenario;6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
4	Open;3600.0;13207.0;12.0	0
4	Open;3600.0;13207.0;18.0	0
4	Open;3600.0;13207.0;12.0	0
4	Open;500.0;3470.0;2.0	0
4	Open;500.0;3470.0;2.0	0
4	Open;2000.0;13880.0;9.0	0
4	Open;500.0;3470.0;2.0	0
4	Open;3600.0;13164.0;13.0	0
4	Open;5000.0;13207.0;19.0	0
4	Open;5000.0;13207.0;19.0	0
4	Open;3600.0;13164.0;13.0	0
4	Open;5000.0;13164.0;19.0	0
4	Open;500.0;3470.0;2.0	0
4	Open;3200.0;6582.0;12.0	0
4	Open;3200.0;6582.0;12.0	0
4	Open;3200.0;6582.0;12.0	0
4	Open;4400.0;10588.0;17.0	0
4	Open;4400.0;10588.0;17.0	0
4	Open;3200.0;6582.0;12.0	0
4	Open;4400.0;10588.0;17.0	0
4	Open;4400.0;10588.0;17.0	0
4	Open;5000.0;13164.0;19.0	0
