seq	action	start_seq
42	"Manual_r45c5$6582;-3.0,5.1;-1.7,5.3;r50$591;"	0
42	Manual_r5c26$344;	0
42	"Agent=1500,6979,6_Pathr10c5$3470;-0.8,-1.6,2;-0.3,-0.4,1;-0.6,0.2,2Pathr10c26$3509;-5.2,1.2,3;-5.3,2.4,4;-4.6,1.9,3"	0
42	"Agent=1500,6979,6_Pathr10c5$3470;-0.8,-1.6,2;-0.3,-0.4,1;-0.6,0.2,2"	0
43	Start	1
43	"Manual_r10c5$3470;r51c5$6563;r55$5.3;1.0,-0.5;0.6,1.0;r10c5$3470;-6.5,0.4;-6.1,1.3;-5.2,1.2;r10c5$3470;-5.8,3.0;-4.6,1.9;r10c5$3470;-3.8,-3.8;-3.1,-4.4;"	0
43	"Manual_r10c5$3470;-6.0,2.0;-7.4,1.4;-6.5,3.4;r10c5$3470;-1.4,-1.2;-0.6,0.2;"	0
43	"Manual_r10c5$3470;-6.6,2.4;r10c5$3470;"	0
43	"Manual_r10c5$3470;-6.5,0.4;-7.4,1.4;-5.2,1.2;r10c5$3470;-5.2,1.2;-6.1,1.3;r10c5$3470;-4.6,1.9;-5.8,3.0;r10c5$3470;-5.2,1.2;-6.1,1.3;r10c5$3470;-5.8,3.0;-6.0,2.0;r17c5$5026;-3.0,5.1;-2.1,6.0;-2.8,6.2;r17c5$5026;-0.2,5.8;-1.0,5.6;-1.7,5.3;"	0
43	"Manual_r45c5$6426;-0.7,7.2;-1.5,6.9;-0.8,6.4;-1.0,5.6;-1.7,5.3;-3.0,5.1;"	0
43	"Manual_r14c34$5034;-4.6,1.9;-5.8,3.0;"	0
43	"Agent=3400,14342,14_Pathr24c30$6582;"	0
43	"Manual_r14c30$5437;-6.1,1.3;-6.6,2.4;-6.5,3.4;-5.8,3.0;-5.3,2.4;-4.6,1.9;-3.0,5.1;-2.8,6.2;-2.1,6.0;r19c46$6736;-5.3,2.4;-7.4,1.4;-6.5,0.4;-6.1,1.3;-6.0,2.0;-5.2,1.2;r16c30$4859;-3.8,-3.8;-3.1,-4.4;-2.0,-5.1;-1.0,-5.6;-1.0,-4.8;-1.7,-4.4;-1.2,-4.0;-1.7,-3.4;-2.4,-3.7;r20c29$5243;-3.0,5.1;-2.8,6.2;-2.2,7.0;-1.5,6.9;-0.7,7.2;-0.8,6.4;-0.2,5.8;-2.1,6.0;-1.0,5.6;-1.7,5.3;-0.7,1.2;-0.6,0.2;"	0
43	"Manual_r29c20$6945;-3.2,-3.6;-3.8,-3.8;-3.1,-4.4;-2.0,-5.1;-1.0,-5.6;-1.0,-4.8;-1.2,-4.0;-1.7,-3.4;r29c20$6945;-0.3,-0.4;1.0,-0.5;0.1,0.6;2.0,3.1;"	0
43	"Manual_r21c18$5294;-1.7,5.3;-1.0,5.6;-0.2,5.8;-0.8,6.4;-0.7,7.2;-1.5,6.9;-2.2,7.0;-2.8,6.2;-2.1,6.0;-3.0,5.1;-1.5,6.9;-2.1,6.0;-2.2,7.0;-1.5,6.9;-0.7,7.2;-0.8,6.4;-0.2,5.8;-1.0,5.6;-1.7,5.3;r23c5$5182;-2.4,-3.7;-3.2,-3.6;-1.4,-3.8;-2.4,-3.7;-1.7,-3.4;-1.0,-4.8;-1.0,-5.6;-2.0,-5.1;-3.1,-4.4;-3.8,-3.8;-3.2,-3.6;-2.4,-3.7;-1.7,-4.4;-1.0,-4.8;-1.0,-5.6;-2.0,-5.1;-1.2,-4.0;-1.7,-3.4;-2.4,-3.7;r29c20$6945;-4.6,1.9;-5.3,2.4;-5.8,3.0;-6.5,3.4;-6.6,2.4;-5.2,1.2;"	0
43	"Manual_r20c10$5150;-1.4,-1.2;-0.8,-1.6;-0.3,-0.4;-0.6,0.2;-0.7,1.2;r19c29$5102;-3.0,5.1;-2.8,6.2;-2.2,7.0;-1.5,6.9;-0.7,7.2;-0.8,6.4;-0.2,5.8;-1.0,5.6;-2.1,6.0;-1.7,5.3;r21c18$5294;2.0,3.1;6.0,5.1;"	0
43	"Manual_r21c18$5294;-1.7,5.3;-1.0,5.6;-0.2,5.8;-0.8,6.4;-0.7,7.2;-1.5,6.9;-2.2,7.0;-2.8,6.2;-2.1,6.0;-3.0,5.1;r21c18$5294;-6.5,-6.8;"	0
43	"Manual_r21c15$6662;-3.0,5.1;-2.8,6.2;-2.2,7.0;-2.1,6.0;-2.1,6.0;-1.7,5.3;-1.0,5.6;-1.4,-1.2;-0.8,-1.6;-0.3,-0.4;-0.6,0.2;"	0
44	"Open=2800.0,13196.0,16.0"	0
44	"Agent=3800,14364,17_Pathr9c20$3591;-5.2,1.2,3;-6.1,1.3,2;-6.0,2.0,3;-6.6,2.4,4;-5.8,3.0,2;-5.3,2.4,4Pathr9c20$3591;-4.6,1.9,3;-7.7,1,3.1,2Pathr20c10$5150;-6.5,0.4,1;-6.1,1.3,2;-5.2,1.2,3;-6.1,1.3,2;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3;-6.6,2.4,4;-6.5,3.4,4;-5.8,3.0,2;-5.3,2.4,4"	0
44	"Agent=7200,13996,30_Pathr18c60$7361;-1.4,-1.2,3;-0.8,-1.6,2;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;2.0,3.1,3;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2;-0.7,1.2,2Pathr20c29$5243;-3.2,-3.6,1;-3.8,-3.8,1;-3.1,-4.4,3;-2.0,-5.1,3;-1.0,-5.6,4;1.1,-6.3,4;1.5,-5.9;-1.2,-6.0;-1.7,-3.4;-2.2,7.0;-0.7,1.2;0.1,0.6;-0.6,0.2;-0.3,-0.4;-0.8,-1.6;-1.4,-1.2;-0.3,-0.4;0.4,-0.8;1.0,-0.5;r21c15$6662;"	0
44	"Manual_r21c18$5294;-3.0,5.1;-2.1,6.0;-2.8,6.2;-2.2,7.0;-2.1,6.0;-1.7,5.3;r17c15$4783;-5.8,3.0;-6.5,3.4;-7.4,1.4;-6.5,0.4;r25c20$6298;6.0,5.1;6.8,5.3;7.4,5.7;7.4,4.8;6.5,4.7;r16c6$2170;-6.1,1.3;-7.2,5.5;-7.4,1.4;-6.5,0.4;"	0
45	"Open=4000.0,12637.0,17.0"	0
46	"Open=6500.0,13531.0,25.0"	0
47	"Open=6300.0,13531.0,25.0"	0
47	"Manual_r14c30$5437;-5.2,1.2;-6.0,2.0;-6.1,1.3;-6.5,0.4;-7.4,1.4;-6.6,2.4;-6.5,3.4;-5.8,3.0;-5.3,2.4;-4.6,1.9;-6.0,2.0;-6.1,1.3;-5.2,1.2;r18c16$5$882;"	0
47	"Agent=5400,14279,22_Pathr25c20$6298;-6.5,-6.8,1.4;"	0
48	Start	1
49	"Open=2000.0,13810.0,11.0"	0
49	"Agent=100,3523,1Pathr10c26$3509;-5.2,1.2,3;-5.3,2.4,4;-4.6,1.9,3"	0
49	"Agent=1500,6979,6_Pathr50c5$6340;-2.1,6.0,2;-2.8,6.2,1;-3.0,5.1,2"	0
49	"Agent=1500,152035,6_Pathr50c5$6340;-2.8,6.2,1;-2.1,6.0,2;-1.7,5.3,2Pathr22c5$3591;-1.5,6.9,1;-0.7,7.2,1;-0.8,6.4,1;-1.0,5.6,2Pathr22c5$3591;0.6,1.0,1;-0.2,5.8,1;-2.2,7.0,1;-3.0,5.1,2Pathr7c5$4145;-5.2,1.2,3;-6.1,1.3,2"	0
49	Submit5	0
49	"Agent=3100,9211,12_Pathr19c70$9211;-0.6,0.2,2;-0.7,1.2,2;-.4.3,-4.4;-7.2,5.8,1;-1.5,6.9,1;-0.7,7.2,1;-0.8,6.4,1;-0.2,5.8,1;-1.0,5.6,2;-1.7,5.3,2Pathr19c70$9211;-0.6,0.2,2;-0.3.0,5.2;-0.3,-0.4;1.0,-0.5;0.4,-0.8;-0.8,-1.6;-1.4,-1.2;r20c42$6953;-2.4,-3.2;-2.4,-3.7;-1.7,-3.4;-1.2,-4.0;-1.0,-4.8;-1.0,-5.6;-2.0,-5.1;-1.7,-4.4;"	0
