session305
Time,User,Action,Type
2020-04-08 20:31:02.574453+00:00,cmu_01,business;SelectNode;88;False,client
2020-04-08 20:31:02.706057+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:02.989885+00:00,cmu_01,business;SelectNode;95;False,client
2020-04-08 20:31:03.006188+00:00,cmu_06,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:31:03.368934+00:00,cmu_01,business;SelectNode;93;True,client
2020-04-08 20:31:03.502275+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:03.704153+00:00,cmu_01,business;SelectNode;92;False,client
2020-04-08 20:31:03.821818+00:00,cmu_06,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:31:04.270135+00:00,cmu_01,business;SelectNode;93;False,client
2020-04-08 20:31:04.947970+00:00,cmu_01,business;SelectNode;94;False,client
2020-04-08 20:31:05.035884+00:00,cmu_01,business;SelectNode;87;False,client
2020-04-08 20:31:05.420330+00:00,cmu_01,business;SelectNode;90;False,client
2020-04-08 20:31:05.768308+00:00,cmu_01,business;SelectNode;96;False,client
2020-04-08 20:31:06.040704+00:00,cmu_exp,The 20 minutes timer started ,chat: Session @40___305
2020-04-08 20:31:06.178929+00:00,cmu_01,business;SelectNode;91;False,client
2020-04-08 20:31:06.824866+00:00,cmu_01,business;SelectNode;89;False,client
2020-04-08 20:31:12.054640+00:00,cmu_01,business;SelectNode;70;False,client
2020-04-08 20:31:12.407078+00:00,cmu_01,business;SelectNode;68;False,client
2020-04-08 20:31:12.805209+00:00,cmu_01,business;SelectNode;71;False,client
2020-04-08 20:31:13.674452+00:00,cmu_01,business;SelectNode;72;False,client
2020-04-08 20:31:14.053563+00:00,cmu_01,business;SelectNode;67;False,client
2020-04-08 20:31:14.168304+00:00,cmu_06,planner;RunPathAgent,client
2020-04-08 20:31:14.804005+00:00,cmu_01,business;SelectNode;75;False,client
2020-04-08 20:31:15.210939+00:00,cmu_01,business;SelectNode;73;False,client
2020-04-08 20:31:17.327997+00:00,cmu_01,business;SelectNode;74;False,client
2020-04-08 20:31:18.240390+00:00,cmu_01,business;SelectNode;75;True,client
2020-04-08 20:31:18.910402+00:00,cmu_04,hello everyone,chat: All @32___305
2020-04-08 20:31:19.336419+00:00,cmu_01,business;SelectNode;69;False,client
2020-04-08 20:31:19.834313+00:00,cmu_01,business;SelectNode;75;False,client
2020-04-08 20:31:20.358235+00:00,cmu_01,business;SelectNode;76;False,client
2020-04-08 20:31:24.284278+00:00,cmu_01,business;SelectNode;79;False,client
2020-04-08 20:31:24.730752+00:00,cmu_01,business;SelectNode;82;False,client
2020-04-08 20:31:24.984079+00:00,cmu_01,business;SelectNode;85;False,client
2020-04-08 20:31:25.351951+00:00,cmu_01,business;SelectNode;86;False,client
2020-04-08 20:31:25.736247+00:00,cmu_01,business;SelectNode;84;False,client
2020-04-08 20:31:26.044422+00:00,cmu_01,business;SelectNode;81;False,client
2020-04-08 20:31:26.370161+00:00,cmu_01,business;SelectNode;78;False,client
2020-04-08 20:31:26.883861+00:00,cmu_01,business;SelectNode;77;False,client
2020-04-08 20:31:27.200460+00:00,cmu_01,business;SelectNode;83;False,client
2020-04-08 20:31:27.699494+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:27.853005+00:00,cmu_01,business;SelectNode;80;False,client
2020-04-08 20:31:28.089714+00:00,cmu_06,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:31:28.558872+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:28.809379+00:00,cmu_06,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:31:36.492686+00:00,cmu_01,business;SubmitScenario,client
2020-04-08 20:31:36.699810+00:00,cmu_01,business;ServerMessage; Submit Scenario : Success,client
2020-04-08 20:31:42.665530+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:43.048084+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:31:43.302992+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:31:43.544366+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:31:49.751676+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:31:49.755834+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,3470,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:31:53.283607+00:00,cmu_06,planner;VehiclePathRemoved;0;base,client
2020-04-08 20:31:53.584414+00:00,cmu_04,planner;StartSession,client
2020-04-08 20:31:53.860257+00:00,cmu_06,"planner;VehicleDuplicated;0;base;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3;ToIndex=1",client
2020-04-08 20:31:53.918639+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,6940,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:31:54.313608+00:00,cmu_04,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:31:54.770928+00:00,cmu_06,planner;VehiclePathRemoved;0;base,client
2020-04-08 20:31:55.418651+00:00,cmu_06,planner;VehiclePathRemoved;1;base,client
2020-04-08 20:31:56.234607+00:00,cmu_06,planner;VehiclePathRemoved;1;base,client
2020-04-08 20:31:57.221320+00:00,cmu_06,planner;SelectPath;1;base,client
2020-04-08 20:31:57.237799+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,6940,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:31:58.622240+00:00,cmu_06,planner;VehicleToggle;1;False;base,client
2020-04-08 20:31:58.638762+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,3470,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:31:59.568357+00:00,cmu_06,planner;VehicleToggle;1;True;base,client
2020-04-08 20:31:59.584377+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,6940,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:00.331049+00:00,cmu_04,planner;SelectPath;0;base,client
