seq	config	result	range	capacity	cost	velocity	start	type	start_seq	start_submit
2	"*aMM0++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0++++*kNL0++++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,35,3"	Success	33.19858	35	8981.17	19.95613	0	Evaluate	0	1
2	"*aMM0++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0++*kNL0++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,40,3"	Success	24.62835	40	8094.828	20.6565	0	Evaluate	0	1
2	"*aMM0++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1++++*gMO2++++*hMK2++++*iKM1++++*jLN0+++*kNL0+++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,35,3"	HitBoundary	14.01732	35	8817.343	70.18297	0	Evaluate	0	1
2	"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++^ab^ac^ad^ae,5,3"	Success	12.46008	5	3512.374	18.163	0	Evaluate	0	1
2	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Success	9.999299	5	3470.2	20.00051	0	Evaluate	0	1
3	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL3*gLN3^ab^ac^ad^ae^ef^dg,5,3"	Open	17.05821	5	3630.402	10.18146	1	Open	0	0
3	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLL0++*gLN0++*hNL0++*iNN0++^ab^ac^ad^ae^ef^cg^eh^ci,5,3"	CouldNotStabilize	-0.7771022	5	11265.61	119.405	0	Evaluate	0	0
3	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLL3++*gLN0+++++*hNL0+++++*iNN3++^ab^ac^ad^ae^ef^cg^eh^ci,15,3"	HitBoundary	2.199168	15	9264.42	17.64005	0	Evaluate	0	0
3	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLL3++*gLN0++*hNL0++*iNN0+++^ab^ac^ad^ae^ef^cg^eh^ci,15,3"	CouldNotStabilize	-0.03684283	15	9788.423	32.59144	0	Evaluate	0	0
3	"*aMM0++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL0++*gLN0++^ab^ac^ad^ae^ef^dg,5,3"	Success	48.98634	5	6635.93	29.54227	0	Evaluate	0	0
3	"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL3++++++++++++++++++*gLN3+++++++++++++++++++^ab^ac^ad^ae^ef^dg,10,3"	Success	5.413412	10	5029.79	8.379702	0	Evaluate	0	0
3	"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fNL3++++++++++++++++++*gLN3++++++++++++++++++^ab^ac^ad^ae^ef^dg,16,3"	Success	8.290654	16	2939.949	9.577686	0	Evaluate	0	0
4	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Open	9.999299	5	3470.2	20.00051	1	Open	0	0
4	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3*gLL3^ab^ac^ad^ae^cf^eg,5,3"	Success	22.14393	5	3630.402	10.01914	0	Evaluate	0	0
4	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3++*gLL3++*hNL0++*iLN0++^ab^ac^ad^ae^cf^eg^eh^di,5,3"	HitBoundary	27.82427	5	7208.973	15.97089	0	Evaluate	0	0
5	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Open	9.999299	5	3470.2	20.00051	1	Open	0	0
5	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1*gKM2*hMK1*iOM2^ab^ac^ad^ae^cf^dg^eh^bi,5,3"	Success	9.008573	5	3782.201	19.9623	0	Evaluate	0	0
6	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN1*gLL2^ab^ac^ad^ae^bf^dg,5,3"	Success	10.17438	5	3626.201	20.22296	1	Evaluate	1	1
6	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3*gLL3^ab^ac^ad^ae^cf^eg,5,3"	Success	22.14393	5	3630.402	10.01914	0	Evaluate	0	1
6	"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL0++*gLN0++*hNN3*iLL3*jMO3+*kOM3+*lKM3+*mMK3+^ab^ac^ad^ae^ef^cg^bh^di^ch^ei^cj^bk^dl^em,50,3"	CouldNotStabilize	-0.08846433	50	7824.785	72.25084	0	Evaluate	0	1
6	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3++*gLL3++^ab^ac^ad^ae^bf^cf^dg^eg,15,3"	Success	9.202024	15	3649.02	15.50385	0	Evaluate	0	1
6	"*aMM0+++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3+++*gLL3+++*hLN3+++*iNL3+++^ab^ac^ad^ae^cf^eg^dh^bi,10,3"	Success	11.00047	10	5312.742	2.00507	0	Evaluate	0	1
7	"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++*lNN4*mLL4^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^ck^bl^cl^dm^em,45,3"	Open	21.96193	45	6918.18	26.51803	1	Open	0	0
7	"*aMM0++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++*lNN4*mLL4^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^ck^bl^cl^dm^em,45,3"	Success	23.55785	45	7361.352	23.38203	0	Evaluate	0	0
7	"*aMM0++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++*lNN1*mLL2^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^ck^bl^cl^dm^em,45,3"	Success	21.05538	45	7517.352	23.3118	0	Evaluate	0	0
8	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Open	9.999299	5	3470.2	20.00051	1	Open	0	0
8	"*aMM0+++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Success	21.18612	5	7007.669	8.361436	0	Evaluate	0	0
8	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1*gKM2*hMK1*iOM2^ab^ac^ad^ae^cf^dg^eh^bi,5,3"	Success	9.008573	5	3782.201	19.9623	0	Evaluate	0	0
8	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Success	9.999299	5	3470.2	20.00051	0	Evaluate	0	0
8	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Success	9.999299	5	3470.2	20.00051	0	Evaluate	0	0
9	"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+*lMP1+++++*mPM2+++++*nJM2+++++*oMJ1+++++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3"	Open	6.416203	99	7801.18	21.84567	1	Open	0	0
9	"*aMM0+++++++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+++++*kLN0+++++*lMP1+++*mPM2+++*nJM2+++*oMJ1+++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3"	Success	20.86181	99	13325.82	9.166925	0	Evaluate	0	0
